sku,upc
1779670,885363004694
1779774,885363004755
1779801,885363004762
1779802,885363004779
1779803,885363004786
1779804,885363004793
1779805,885363004809
20350GOLD5C,082472203509
20351GOLD50D,082472203516
20353SSRK1,082472203530
20980HSF18,082472209808
20981HSB18,082472209815
20982HSB12,082472209822
20985HSF12,082472209853
3001212L,082472300123
3004646L,082472300468
3005858L,082472300581
3007272L,082472300727
3009696L,082472300963
LXHT90540,885911688444
LXHT90550,885911688413
LXHT90551,885911688420
LXHT90552,885911688437
