our_sku,upc
01-1010,018578001701
01-1212,018578001718
01-1515,018578001725
01-1818,018578002593
1001-2121,018578004818
1001-2424,018578004825
1001-2727,018578004832
1001-44,018578015227
1001-64,018578001596
1001-66,018578015234
1001-88,018578001640
02-1010,018578002258
02-1212,018578001749
02-1515,018578002265
02-1818,018578001756
1002-2121,018578001763
1002-2424,018578003712
1002-43,018578015241
1002-44,018578015258
02-44_BX,10018578015255
02-44RC,018578015265
1002-46,018578002739
1002-64,018578015289
1002-64EC,018578008922
02-64RC,018578005617
1002-66,018578015296
02-66_BX,10018578015293
02-66RC,018578017047
1002-86,018578001527
1002-88,018578001626
02-88RC,018578005631
06-1212,018578002401
1006-44,018578015340
1006-66,018578015364
1006-88,018578002364
51-44,018578015371
51-64,018578015388
51-66,018578001213
51-88,018578002166
56-1010,018578002012
56-1212,018578002029
56-125,018578015449
56-150,018578015456
56-1515,018578002036
56-1818,018578001947
56-2121,018578004641
56-215,018578015470
56-22,018578015487
56-2424,018578001954
56-315,018578015494
56-32,018578015500
56-33,018578015517
56-33RC,018578005914
56-33WHITE,018578029651
56-415,018578015524
56-42,018578015531
56-43,018578015548
56-43WHITE,018578019805
56-44,018578015555
56-44_BX,10018578015552
56-44RC,018578016903
56-44WHITE,018578029866
56-54,018578015579
56-55,018578001855
56-64,018578015586
1056-64EB,018578003699
56-66,018578015593
56-66_BX,10018578015590
56-66RC,018578015609
56-86,018578001664
56-88,018578015616
CMA10,018578004313
CMA12,018578004382
312-300,018578006393
CMA04,018578004429
CMA06,018578004474
CMA08,018578004573
CC100G,018578041653
CC115G,018578041707
CC125G,018578041516
CC180G,018578041667
CC225G,018578043138
CC275G,018578043268
CC290G,018578045781
CC335G,018578045798
CC345G,018578045804
CC56G,018578041677
CC65G-DU,018578041738
CC65G,018578041738
CC75G-PL,018578042797
CC75G,018578042797
HULK10,018578049260
HULK12,018578049277
HULK4,018578049222
HULK5,018578049239
HULK6,018578049246
HULK8,018578049253
IC44P,018578048140
IC66P,018578048157
FlexCap05,018578020405
FlexCap07,018578020399
FlexCap10,018578020276
FlexCap12,018578022812
FlexCap15,018578016583
FlexCap2,018578016590
FlexCap3,018578016606
FlexCap4,018578016613
FlexCap5,018578016620
FlexCap6,018578016637
FlexCap8,018578003552
FlexCap100,018578018938
FlexCap120,018578006218
FlexCap140,018578018990
FlexCap4Corr,018578004108
FlexCap6Corr,018578018969
Flex9015,018578016644
Flex9015,018578016651
Flex903,018578016668
Flex904,018578016675
QS-4,018578008571
QS-4S40,018578009097
QS-5X4HS,018578041646
QS-6,018578008588
QS-6S40,018578009103
QS-7X4HS,018578040991
QS-8,018578009110
QS-9X4HS,018578041455
FlexTee15,018578016682
FlexTee2,018578016699
FlexTee3,018578016705
FlexTee4,018578016712
TST-4,018578006355
TST-6,018578006362
TSW-4,018578006379
TSW-6,018578006386
